danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.588,0.791,-5.595,0.0402,0.00245,0.00258,0.118,0.487,94.933,0ug5NqcwcFR2xrfTkc7k8e,231000
0.647,0.8,-5.384,0.165,0.0647,0.0,0.334,0.942,160.078,0cqRj7pUJDkTCEsJkx8snD,219200
0.57,0.747,-3.978,0.0426,0.445,0.0,0.219,0.808,164.004,6yM6QsnTCTVOkKEvg3hGlo,237747
0.8,0.535,-6.684,0.135,0.0713,9.48e-06,0.213,0.451,92.027,1ZY1PqizIl78geGM4xWlEA,209680
0.626,0.44,-6.942,0.0232,0.331,0.0,0.146,0.259,99.962,7snx7w5WZLHovS0xC45ZfP,204707
0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560
0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.244,74.897,5rEvuW4YhwobKwGL1HPrXA,252733
0.418,0.42,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094,5Nm9ERjJZ5oyfXZTECKmRt,172724
0.642,0.289,-9.918,0.0367,0.669,0.0,0.18,0.407,84.996,1XpYodsD36XN7ygcdF7mJJ,258373
0.609,0.668,-4.284,0.0367,0.0552,0.0,0.167,0.811,80.924,3DXncPQOG4VBw3QHh3S817,288600
0.574,0.512,-6.664,0.0503,0.234,0.0,0.0946,0.512,76.899,4rHZZAmHpZrA3iH5zx8frV,484147
0.638,0.826,-4.968,0.0479,0.139,0.0,0.0803,0.649,124.072,4lCv7b86sLynZbXhfScfm2,227880
0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400
0.845,0.567,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02,4B0JvthVoAAuygILe3n4Bs,205680
0.706,0.643,-6.929,0.234,0.0242,0.0,0.262,0.885,143.931,0yvPEnB032fojLfVluFjUv,203760
0.562,0.939,-4.282,0.0475,0.046,0.0,0.112,0.684,116.044,1nInOsHbtotAmEOQhtvnzP,221947
0.607,0.536,-7.306,0.0305,0.386,0.0,0.102,0.434,147.986,10M2Ex445zw585Ducldzkw,224853
0.635,0.903,-3.588,0.0323,0.0472,0.0,0.255,0.559,100.08,3IPkbTA8KkdDXyWtGkfFXa,182693
0.613,0.839,-3.799,0.0352,0.000854,0.0,0.341,0.526,104.975,2d48mamATjby7wgPjdrSOQ,223627
0.634,0.668,-5.488,0.0291,0.14,0.0,0.216,0.635,80.989,2mfahQ0EaaZWq4cFNg6A1o,224627
0.608,0.928,-2.724,0.0883,0.133,0.0,0.103,0.738,130.012,5w3NgfV8v1nNZFLUBlGHIL,177306
0.661,0.75,-5.497,0.0314,0.0303,0.000132,0.0849,0.828,130.077,30MM5jWpUmOxtTNd9Ey5LZ,157080
0.47,0.852,-5.874,0.0933,0.163,2.04e-06,0.281,0.773,168.063,2n5ZD87XQ2yvIxGjoYbUmZ,183200
0.669,0.617,-8.72,0.057,0.401,0.0,0.119,0.621,147.992,2yQZwi1P8AkkxxFhQ8rMEK,222573
0.846,0.711,-7.939,0.061,0.496,0.0,0.247,0.883,120.013,6UsoV6X96Rox9mfxoz7SFy,197840
0.492,0.681,-7.038,0.075,0.143,0.0,0.199,0.511,178.01,1mJMD1VIQ7jWTP9DK2zmY0,212445
0.582,0.568,-6.051,0.0297,0.196,0.0,0.0841,0.64,76.025,3T6MAweakkNrMYs8jZIWtg,207187
0.488,0.637,-7.63,0.0401,0.265,0.0,0.106,0.23,88.872,1KTLLe980WR4RLKg74Ud6e,208653
0.643,0.783,-6.458,0.0856,0.047,0.0,0.083,0.579,154.084,7iDa6hUg2VgEL1o1HjmfBn,163870
0.446,0.759,-5.053,0.0331,0.0636,0.0,0.098,0.56,170.17,4hxPwjXNymrxLJD4YaeH1b,172102
0.333,0.412,-8.633,0.029,0.0977,0.0,0.113,0.474,85.028,0OWZFobGSIW9GrSlQ9C5pc,205453
0.612,0.799,-4.603,0.0275,0.00898,0.0,0.172,0.687,125.976,7zVCrzzEJU7u24sbJPXA5W,188253
0.553,0.747,-5.432,0.0279,0.106,0.0,0.154,0.521,90.012,3I7krC8kr0gFR7P6vInR1I,234307
0.557,0.807,-5.428,0.0825,0.189,0.0,0.234,0.578,81.045,11fWR3u9wjDMW4oVDbUbyT,171493
0.622,0.906,-3.401,0.0529,0.239,0.0,0.157,0.454,102.98,0p3koX3t8IuRzXV3R31WD8,202213
0.727,0.68,-4.498,0.0286,0.0101,0.0,0.0821,0.728,132.012,6cmm1LMvZdB5zsCwX5BjqE,212507
0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,2PpruBYCo4H7WOBJ7Q2EwM,235213
0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,6v4F5IaKUITBPzt2wztoiZ,213428
0.664,0.714,-6.645,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,0vbtURX4qv1l7besfwmnD8,197933
0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,2vwlzO0Qp8kfEtzTsCXfyE,221360
